blueTop,blueJungle,blueMid,blueADC,blueSupport,redTop,redJungle,redMid,redADC,redSupport,blueWin
Renekton,Nidalee,Ryze,Yunara,Alistar,Gangplank,Briar,Azir,Corki,Rakan,1
Aurora,Vi,Ryze,Ashe,Leblanc,DrMundo,JarvanIV,Anivia,Lucian,Nami,1
Malphite,Graves,Quinn,Ezreal,Bard,Aurora,LeeSin,Fizz,Caitlyn,Karma,1
Fiora,JarvanIV,Ryze,Jhin,Bard,Gangplank,LeeSin,Galio,Yunara,Karma,1
Ambessa,Vi,Ryze,MissFortune,Neeko,Anivia,Lillia,Yasuo,Yunara,Leona,1
Lulu,Jax,Sylas,Ezreal,Rell,Kennen,Briar,Ryze,Sivir,Maokai,0
Anivia,Briar,Ryze,Sivir,Karma,Teemo,Khazix,Orianna,Ezreal,Alistar,0
Sion,Talon,Leblanc,Aphelios,Karma,Gnar,Nocturne,Ryze,Yunara,Lulu,0
Yorick,Shen,Ryze,Yunara,Poppy,Aurora,JarvanIV,Cassiopeia,Ezreal,Karma,0
Yorick,LeeSin,Neeko,Jhin,Camille,Jayce,JarvanIV,Ryze,Mel,Pantheon,1
Jax,XinZhao,Aurora,Jinx,Lulu,Gnar,Nocturne,Ryze,Yunara,Rakan,0
Ambessa,JarvanIV,Ryze,Kaisa,Blitzcrank,Jax,Viego,Orianna,Ezreal,Bard,1
Ambessa,Ivern,Orianna,Ezreal,Bard,Rumble,JarvanIV,Azir,Varus,Leblanc,1
Vayne,Graves,Galio,Lucian,Neeko,RekSai,Zac,Anivia,Ashe,Seraphine,0
Teemo,Naafiri,Velkoz,Ashe,Camille,Maokai,JarvanIV,Ahri,Draven,Anivia,0
Gangplank,Vi,Aurora,Draven,Blitzcrank,Sion,XinZhao,Xerath,Cassiopeia,Jax,1
Gangplank,FiddleSticks,Anivia,Ashe,Pantheon,Udyr,Ambessa,Ryze,Ezreal,Nidalee,0
KSante,Vi,Orianna,Varus,Nautilus,Skarner,Ivern,TwistedFate,Yunara,Alistar,1
Riven,LeeSin,Orianna,Kaisa,Nautilus,Kennen,Graves,Zed,Seraphine,Rell,1
Jayce,Maokai,Galio,Yunara,Soraka,Shyvana,Ambessa,Ryze,Lucian,Nami,0
Vayne,Shen,Taliyah,Xayah,Anivia,Aurora,Jax,Yasuo,Jhin,Leona,1
Sion,Karthus,Qiyana,Ezreal,Camille,KSante,Nocturne,Vex,Mel,Blitzcrank,1
Yorick,Ambessa,Fizz,Yunara,Lulu,Renekton,Viego,Ahri,Vayne,Rell,0
Yorick,LeeSin,Annie,Sivir,Yuumi,Kennen,Belveth,Orianna,Ezreal,Alistar,0
Renekton,Rengar,Belveth,Ezreal,Anivia,Sion,FiddleSticks,Corki,Kaisa,Rell,1
Kennen,Pantheon,Varus,Ashe,Anivia,Renekton,Ekko,Azir,Yunara,Lulu,1
Yorick,Zyra,Zeri,Jinx,Nautilus,Renekton,Ambessa,Varus,Yunara,Alistar,1
Kennen,Brand,Zed,Xayah,Braum,Renekton,Ambessa,Anivia,Vladimir,Leona,0
Jax,Kindred,Akshan,Ezreal,Rell,DrMundo,Nidalee,Yone,MissFortune,Neeko,0
Ambessa,Viego,Gwen,Jhin,Rumble,Jax,Naafiri,Aurora,Mel,Alistar,0
Renekton,Nidalee,Tristana,Corki,Bard,Ryze,Belveth,Akali,Lucian,Yuumi,1
Renekton,JarvanIV,Mel,Yunara,Elise,Zaahen,Nidalee,Azir,Aphelios,Thresh,1
Renekton,Graves,Viktor,Mel,Shen,Ambessa,Pantheon,Syndra,Seraphine,Poppy,0
Gnar,Nidalee,Viktor,Jhin,Bard,Yorick,Skarner,Sylas,Lucian,Taric,1
Camille,Ivern,Aurora,Yunara,Pantheon,Gnar,JarvanIV,Viktor,Ezreal,Sona,0
Sion,Rengar,TwistedFate,Tristana,Senna,Renekton,Nidalee,Ahri,Yunara,Karma,0
Renekton,Vi,Ahri,Kaisa,Pyke,DrMundo,Nocturne,Mel,Jhin,Bard,1
Yasuo,XinZhao,Fizz,Yunara,Rakan,Rumble,JarvanIV,Hwei,Tristana,Poppy,1
Rumble,Pantheon,Syndra,Ezreal,Karma,Renekton,Talon,Ryze,Jhin,Anivia,1
Vayne,Vi,Taliyah,Swain,Alistar,Yasuo,Pantheon,Ahri,Kaisa,Rell,1
DrMundo,Nidalee,Jayce,Ezreal,Bard,Quinn,Vi,Aurora,Yunara,Pyke,0
Sion,Nidalee,Yone,Aphelios,Braum,Fiora,Sylas,Ahri,Swain,Camille,1
Darius,Vi,Ahri,Ezreal,Karma,Jax,Nidalee,Akshan,Yunara,Nautilus,0
Quinn,Nidalee,Vladimir,Kalista,Bard,Aurora,RekSai,Ryze,Yunara,Janna,0
Darius,Nidalee,Yone,Singed,Nautilus,Urgot,Ambessa,Aurora,Jhin,Karma,1
Ambessa,Nidalee,Singed,Jhin,Karma,Poppy,Kindred,Karthus,Ezreal,Nautilus,1
Renekton,JarvanIV,Orianna,Yunara,Swain,Warwick,Ambessa,Brand,Jhin,Leona,1
Vladimir,FiddleSticks,Jayce,Yunara,Alistar,Poppy,Sylas,Orianna,Corki,Swain,1
Poppy,Nidalee,Jayce,Karthus,FiddleSticks,KSante,Briar,Ahri,Lucian,Yuumi,1
Khazix,Taliyah,Corki,Velkoz,Lulu,Sylas,Graves,Leblanc,Ashe,Hwei,1
Jax,Ambessa,Taliyah,Jhin,Blitzcrank,Chogath,Graves,Leblanc,Varus,Galio,0
KSante,Qiyana,Ryze,Ashe,Seraphine,Pantheon,Graves,Ekko,Sivir,Alistar,0
Renekton,Graves,Azir,MissFortune,Rell,Jayce,Qiyana,Ahri,Jhin,Blitzcrank,0
Zaahen,Pantheon,Sylas,Lucian,Elise,Gnar,Karthus,Talon,Velkoz,Nautilus,1
Vayne,Nocturne,Galio,Ezreal,Anivia,Jayce,Vi,Leblanc,Lucian,Braum,0
Zed,Qiyana,Sion,Ziggs,Pyke,Ornn,Naafiri,Anivia,Varus,Elise,1
Rumble,Qiyana,TwistedFate,Varus,Braum,KSante,Graves,Chogath,Tristana,Nautilus,0
Riven,Karthus,Viktor,Jhin,Xerath,Darius,Qiyana,Ahri,Jinx,Thresh,0
Renekton,Karthus,TwistedFate,Jhin,Nautilus,Jayce,JarvanIV,Katarina,Ezreal,Anivia,0
